_id,name,mean,use_1,use_2,use_3,use_4,use_5,use_6,classification_1,classification_2,classification_3,classification_4,classification_5,classification_6,structure_1,structure_2,structure_3,structure_4,structure_5,structure_6,structure_7,example_1,example_2,example_3,example_4,example_5,sign_1,sign_2,sign_3,sign_4,sign_5,sign_6,__v
66803c784b335ea880236e7b,Chủ ngữ (Subject/ S),Là thành phần của câu thực hiện hành động hoặc bị ảnh hưởng bởi hành động trong câu. Thường là danh từ hoặc đại từ.,Đứng đầu câu hoặc mệnh đề.,Đứng trước động từ.,,,,,,,,,,,,,,,,,,The cat,The cat is sleeping on the sofa.,,,,"Thường là danh từ, đại từ, cụm danh từ, hoặc mệnh đề danh từ.",,,,,,0
66803c784b335ea880236e80,Tính từ (Adjective/ Adj),"Những từ chỉ tính chất, đặc điểm của người, vật hay hiện tượng.","Đứng trước danh từ, sau động từ tobe (am/is/are).",Đứng sau trạng từ (có đuôi -ly).,"Đứng sau các tính từ chỉ mức độ (very, enough, too,…).","Đứng sau động từ tình thái look, seem, sound, feel, taste, appear,…",,,,,,,,,,,,,,,,beautiful,She is very beautiful.,,,,"Thường kết thúc bằng các hậu tố như -able, -al, -ful, -ic, -ive, -less, -ous.",,,,,,0
66803c784b335ea880236e7d,Đại từ (Pronouns),"Những từ chỉ người hay sự vật, được dùng nhằm thay thế cho cụm từ/danh từ cụ thể đã xác định trong câu để giảm thiểu việc lặp lại nhiều lần, khiến câu mất đi tính tự nhiên.",Đứng thay cho danh từ.,,,,,,"Đại từ nhân xưng (chỉ người/nhóm người hoặc sự vật): I – me ,We – us, They – them,  You – you, She – her, He – his, It – it.","Đại từ sở hữu: Mine, Yours, Ours, Hers, His, Its.","Đại từ phản thân (thay cho chủ ngữ cùng đối tượng): Myself, Yourself, Themselves, Itself, Herself, Himself.","Đại từ chỉ định (hướng đến người/sự vật cụ thể): This, These, That, Those.","Đại từ bất định (Chỉ một/nhiều các sự vật không xác định): Any, many, each, many, every, all, both, neither,…","Đại từ quan hệ (Nối mệnh đề phụ với mệnh đề chính): Who, Where, Which, Whose, That.",,,,,,,,He,He is my friend.,,,,"Các từ: he, she, it, they, we, us, them, I, me, you, this, that, these, those, each, every, some, any, no.",,,,,,0
66803c784b335ea880236e7f,Động từ (Verb/ V),"Những từ chỉ hành động và trạng thái của một người, sự vật hay hiện tượng nào đó.",Đứng sau chủ ngữ.,"Đứng sau trạng từ thời gian/tần suất (always, often, usually,…).",,,,,,,,,,,,,,,,,,runs,She runs every morning.,,,,"Các từ thể hiện hành động hoặc trạng thái, có thể ở dạng nguyên mẫu, quá khứ hoặc phân",,,,,,0
66803c784b335ea880236e84,Giới từ (Preposition),"Là những từ biểu thị tính liên quan giữa các sự vật, hiện tượng bất kỳ.",Đứng trước danh từ hoặc đại từ.,,,,,,"Giới từ chỉ thời gian: on, at, before, after, during, in, through.","Giới từ thể cách: with, without, according to, in spite of, instead of.","Giới từ chỉ mục đích: so as to/ in order to/ to, for, thanks to.","Giới từ chỉ nơi chốn: at, in, on/above, from, along, across, around.",,,,,,,,,,on,The cat is on the sofa.,,,,"Các từ: in, on, at, under, over, between, among, through, during, before, after.",,,,,,0
66803c784b335ea880236e81,Trạng từ (Adverb/ Adv),"Là những từ bổ nghĩa thêm cho tính từ, chỉ trạng thái hay tính chất của một sự vật/hiện tượng.",Đứng ở đầu câu/giữa câu có ngăn cách bằng dấu phẩy.,"Trạng từ tần suất (always, often,…) đứng trước động từ thường.",Đứng trước/sau bổ nghĩa cho động từ thường.,Đứng trước bổ nghĩa cho tính từ.,,,,,,,,,,,,,,,,Quickly,He ran to the school.,,,,"Thường kết thúc bằng hậu tố -ly, nhưng cũng có trạng từ không theo quy tắc như: well, fast, hard, late.",,,,,,0
66803c784b335ea880236e83,Liên từ (Conjunction),"Là những từ dùng để nối kết các từ, cụm từ, mệnh đề, và ý nghĩa trong một câu.",Đứng giữa hai mệnh đề hoặc ở đầu câu.,,,,,,"Liên từ liên kết - nối từ 2 mệnh đề/cụm từ trong câu: and, so, for, then, yet, but, as, …","Liên từ tương quan - liên kết mệnh đề phụ thuộc với mệnh đề chính của câu: although, before, as long as,…","Liên từ phụ thuộc - đi theo cặp, dùng để nối 2 mệnh đề/cụm từ: either…or, not only…but also",,,,,,,,,,,but,"I wanted to go, but it was too late.",,,,"Các từ: and, but, or, so, because, although, since, if, when, while.",,,,,,0
66803c784b335ea880236e85,Danh động từ  (Gerund),"Là dạng động từ thêm ""-ing"" nhưng được dùng như một danh từ.",Đứng sau tính từ.,Đứng sau động từ thường.,Đứng giữa động từ tobe và danh từ.,,,,,,,,,,,,,,,,,Swimming,Swimming is fun.,,,,Động từ thêm -ing,,,,,,0
66803c784b335ea880236e86,Trợ động từ (Auxiliary Verbs),"Là những từ dùng để hỗ trợ cho động từ chính, thể hiện thời gian, sự hoàn thành, khả năng, và các khía cạnh khác của hành động.",Đứng trước động từ chính.,,,,,,,,,,,,,,,,,,,is,My brother is running.,,,,"Các từ: am, is, are, was, were, be, being, been, have, has, had, do, does, did, will, would, can, could, may, might, must",,,,,,0
66803c784b335ea880236e7c,Tân ngữ (Object/ O),Là thành phần của câu thực hiện hành động hoặc bị ảnh hưởng bởi hành động trong câu. Thường là danh từ hoặc đại từ.,Đứng sau động từ với chức năng là tân ngữ.,Đứng sau giới từ,,,,,,,,,,,,,,,,,,a book,She is reading a book.,,,,"Thường là danh từ, đại từ, hoặc cụm danh từ.",,,,,,0
66803c784b335ea880236e7e,Danh từ (Noun/ N),"Là những từ chỉ người, sự vật, địa điểm hay hiện tượng cụ thể.",Đứng sau động từ với chức năng là tân ngữ.,"Đứng sau mạo từ (a, the, an) và các từ chỉ định (these, this, those, that).","Đứng sau giới từ chỉ nơi chốn (in, on, at, under..).","Đứng sau a few, any, some, every, enough, little, a little, all, each,…",,,,,,,,,,,,,,,,a book,She bought a book.,,,,"Thường kết thúc bằng các hậu tố như -tion, -ment, -ness, -ity, -er, -or, -ist, -ism.",,,,,,0
66803c784b335ea880236e82,Mạo từ (Article),Là những từ đứng trước danh từ để cho biết danh từ đó nói đến một đối tượng xác định hay không xác định.,Đứng trước danh từ.,,,,,,,,,,,,,,,,,,,a,He bought a television.,,,,"Các từ: a, an, the",,,,,,0
